-0.027769404,0.693971693
-0.021827053,0.693728769
-0.05813312,0.667385716
-0.035625881,0.680423646
0.076528359,0.550394582
0.241651288,0.502136033
0.36267088,0.539695576
0.449714325,0.526715953
0.337720287,0.451510923
-0.282799823,1.548338007
-0.340797296,1.669603991
-0.755812604,1.280737853
-0.482821861,1.194542782
-0.953678061,1.543940372
-0.958176197,1.601153782
-0.961579739,1.65045332
-0.949961522,1.681534216
1.816642858,-1.29237124
1.828210778,-1.265048593
1.795721839,-1.432135509
2.473215001,-1.026115919
2.565624778,-0.833269792
1.789046703,-1.271754934
1.748529071,-1.432113545
1.869904306,-1.279625579
1.833226569,-1.189870822
1.934469099,-1.039321387
1.95175863,-1.014204577
1.960067897,-0.981285456
1.948274921,-0.608460923
1.954508085,-0.584388221
2.014608687,-0.739391489
1.936701661,-0.63970767
1.944720542,-0.608360337
1.988694939,-0.478709168
2.022671646,-0.254186846
2.005417414,0.11000052
2.007093502,0.12320641
1.987606829,0.138871788
1.976125281,0.151947173
1.9785377,0.165669141
1.603460596,0.200136441
1.659992501,0.144503264
1.040925148,-0.128227117
0.589873676,-1.403265953
3.134876042,0.554916026
2.818002964,0.109221371
2.408394365,-0.270151723
2.367764514,-0.355761784
2.372248069,-0.344752146
2.401861188,-0.346866658
2.338523874,-0.404783244
2.378298263,-0.413635441
2.318118413,-0.461229444
2.338999272,-0.454031068
2.379913773,-0.463405015
2.205833001,-0.636815211
2.239742388,-0.634403097
2.190666638,-0.66676948
2.210594982,-0.643007951
2.449545083,-0.494822037
2.410499473,-0.538683292
2.420471338,-0.508125926
2.449436945,-0.496763444
2.284397806,-0.615464844
2.433430202,-0.291665233
2.204438402,-0.195845288
2.068469294,-0.132679833
1.502908766,-0.422064796
1.129193532,-0.482145734
1.13350059,-0.512555985
1.14620425,-0.527996312
1.135782185,-0.887643232
1.091816616,-0.984782485
1.193541094,-0.886137262
1.185899461,-0.957036157
1.186819514,-0.997304653
1.146754057,-1.097525295
1.041820099,-1.08472317
1.072731803,-1.118875627
1.126449957,-1.099841952
1.095144569,-0.982172674
1.124485603,-1.004860316
1.142972208,-1.032334136
1.156489507,-1.063559402
0.907695316,-1.267190523
1.021628974,-1.435887621
3.968975776,0.678976465
3.611710049,0.70486764
3.197465441,0.758713785
3.052842203,0.489759739
2.811678407,0.411365392
2.403381417,0.392036108
1.662576377,0.805105114
3.040835612,-0.533007535
2.484023868,0.012798051
1.878763183,-0.656243109
3.035212848,-0.455169819
2.690164278,-0.596663766
2.6531275,-0.626335227
2.626112966,-0.656453101
2.359043296,-0.645342634
2.609606898,0.320882581
2.654045412,-0.115748121
2.314022082,-0.132081868
2.159545558,-0.615171047
1.71354339,-0.645916059
2.117389607,1.26754316
1.800389607,1.23254316
